shapeName,shapeISO,shapeID,shapeGroup,shapeType
Upper Uele,CD-HU,28894549B55881681467015,COD,ADM1
Ituri,CD-IT,28894549B71118016098951,COD,ADM1
Tshopo,CD-TO,28894549B99726016901645,COD,ADM1
Lower Uele,CD-BU,28894549B47695765788779,COD,ADM1
Mongala,CD-MO,28894549B51646896581942,COD,ADM1
Nord-Ubangi,CD-NU,28894549B30663222433478,COD,ADM1
Tshuapa,CD-TU,28894549B79800095019512,COD,ADM1
Ã‰quateur,CD-EQ,28894549B37294008176905,COD,ADM1
Haut-Katanga,CD-HK,28894549B50925261891635,COD,ADM1
Haut-Lomami,CD-HL,28894549B30623489313038,COD,ADM1
Kongo-Central,CD-BC,28894549B38138050967839,COD,ADM1
Kwango,CD-KG,28894549B46890622863620,COD,ADM1
Sankuru,CD-SA,28894549B87845660721216,COD,ADM1
Sud-Ubangi,CD-SU,28894549B79448475719999,COD,ADM1
Tanganyika,CD-TA,28894549B79924508589254,COD,ADM1
Kasai,CD-KS,28894549B67590087528803,COD,ADM1
Kasai-Oriental,CD-KE,28894549B87743923989415,COD,ADM1
Maniema,CD-MA,28894549B38684068732321,COD,ADM1
North Kivu,CD-NK,28894549B19306184040235,COD,ADM1
South Kivu,CD-SK,28894549B54646848790483,COD,ADM1
Central Kasai,CD-KC,28894549B61915221715888,COD,ADM1
Lomami,CD-LO,28894549B21546057795066,COD,ADM1
Lualaba,CD-LU,28894549B83017556697567,COD,ADM1
Kinshasa,CD-KN,28894549B68389240291046,COD,ADM1
Kwilu,CD-KL,28894549B48772399836497,COD,ADM1
Mai-Ndombe,CD-MN,28894549B55201873792787,COD,ADM1
